Game_No,X,Y
0,320.0,260.0
0,300.0,260.0
0,300.0,240.0
0,320.0,240.0
0,340.0,240.0
0,340.0,260.0
0,360.0,260.0
0,360.0,280.0
0,340.0,280.0
0,340.0,260.0
0,360.0,260.0
0,380.0,260.0
0,380.0,280.0
0,360.0,280.0
0,360.0,260.0
0,380.0,260.0
0,400.0,260.0
0,420.0,260.0
0,420.0,240.0
0,440.0,240.0
0,440.0,260.0
0,460.0,260.0
0,460.0,240.0
0,440.0,240.0
0,440.0,260.0
0,420.0,260.0
0,420.0,240.0
0,440.0,240.0
0,440.0,260.0
0,420.0,260.0
0,420.0,240.0
0,440.0,240.0
0,440.0,260.0
0,420.0,260.0
0,420.0,240.0
0,440.0,240.0
0,460.0,240.0
0,460.0,260.0
0,440.0,260.0
0,440.0,280.0
0,460.0,280.0
0,460.0,300.0
0,440.0,300.0
0,440.0,280.0
0,460.0,280.0
0,460.0,300.0
0,440.0,300.0
0,440.0,280.0
0,460.0,280.0
0,460.0,300.0
0,440.0,300.0
0,420.0,300.0
0,420.0,280.0
0,400.0,280.0
0,400.0,260.0
0,420.0,260.0
0,420.0,280.0
0,400.0,280.0
0,400.0,260.0
0,400.0,240.0
0,380.0,240.0
0,380.0,220.0
0,360.0,220.0
0,340.0,220.0
0,340.0,200.0
0,360.0,200.0
0,380.0,200.0
0,400.0,200.0
0,400.0,220.0
0,380.0,220.0
0,380.0,200.0
0,360.0,200.0
0,360.0,180.0
0,360.0,160.0
0,380.0,160.0
0,380.0,180.0
0,360.0,180.0
0,360.0,200.0
0,340.0,200.0
0,340.0,180.0
0,360.0,180.0
0,360.0,160.0
0,380.0,160.0
0,380.0,140.0
0,360.0,140.0
0,360.0,160.0
0,340.0,160.0
0,340.0,140.0
0,320.0,140.0
0,320.0,120.0
0,340.0,120.0
0,360.0,120.0
0,360.0,140.0
0,360.0,160.0
0,380.0,160.0
0,380.0,180.0
0,360.0,180.0
0,360.0,160.0
0,340.0,160.0
0,340.0,180.0
0,360.0,180.0
0,360.0,200.0
0,380.0,200.0
0,380.0,220.0
0,360.0,220.0
0,360.0,200.0
0,380.0,200.0
0,400.0,200.0
0,400.0,220.0
0,380.0,220.0
0,380.0,200.0
0,400.0,200.0
0,400.0,220.0
0,380.0,220.0
0,360.0,220.0
0,360.0,200.0
0,380.0,200.0
0,380.0,220.0
0,360.0,220.0
0,360.0,200.0
0,380.0,200.0
0,380.0,220.0
0,360.0,220.0
0,360.0,240.0
0,340.0,240.0
0,340.0,220.0
0,320.0,220.0
0,320.0,200.0
0,340.0,200.0
0,340.0,180.0
0,360.0,180.0
0,360.0,200.0
0,340.0,200.0
0,340.0,220.0
0,340.0,240.0
0,340.0,260.0
0,320.0,260.0
0,320.0,240.0
0,340.0,240.0
0,340.0,260.0
0,340.0,280.0
0,320.0,280.0
0,320.0,260.0
0,340.0,260.0
