Game_No,Score,Record,Avg_Steps,Death_Reason
1,0,0,304.00,Collision_Wall
1,0,0,95.00,Collision_Wall
1,0,0,75.00,Collision_Wall
2,0,0,111.00,Collision_Wall
3,0,0,180.00,Collision_Wall
4,1,1,4.50,Collision_Self
5,0,1,375.00,Collision_Wall
6,0,1,103.00,Collision_Wall
7,0,1,148.00,Collision_Wall
8,0,1,48.00,Collision_Wall
9,1,1,13.50,Collision_Self
10,0,1,35.00,Collision_Wall
11,1,1,22.50,Collision_Wall
12,0,1,155.00,Collision_Wall
13,1,1,71.50,Collision_Self
14,1,1,157.50,Collision_Self
15,0,1,23.00,Collision_Wall
16,0,1,35.00,Collision_Wall
17,2,2,19.33,Collision_Wall
18,1,2,38.50,Collision_Self
19,1,2,86.50,Collision_Self
20,1,2,32.00,Collision_Self
21,1,2,75.00,Collision_Self
22,0,2,47.00,Collision_Wall
23,0,2,37.00,Collision_Wall
24,0,2,195.00,Collision_Wall
25,0,2,213.00,Collision_Wall
26,0,2,73.00,Collision_Wall
27,1,2,32.50,Collision_Wall
28,1,2,35.50,Collision_Self
29,1,2,54.00,Collision_Self
30,1,2,73.00,Collision_Self
31,0,2,55.00,Collision_Wall
32,0,2,16.00,Collision_Wall
33,0,2,262.00,Collision_Wall
34,1,2,63.00,Collision_Wall
35,2,2,44.67,Collision_Self
36,0,2,98.00,Collision_Wall
37,1,2,26.50,Collision_Self
38,1,2,67.00,Collision_Wall
39,1,2,34.50,Collision_Wall
40,1,2,90.00,Collision_Self
41,1,2,56.50,Collision_Wall
42,1,2,144.00,Collision_Wall
43,0,2,68.00,Collision_Wall
44,1,2,89.50,Collision_Self
45,1,2,39.00,Collision_Wall
46,2,2,29.00,Collision_Self
47,3,3,84.50,Collision_Wall
48,1,3,83.00,Collision_Self
49,1,3,27.00,Collision_Self
50,1,3,66.00,Collision_Self
51,3,3,56.25,Collision_Wall
52,1,3,23.50,Collision_Wall
53,0,3,43.00,Collision_Wall
54,1,3,32.50,Collision_Self
55,0,3,76.00,Collision_Wall
56,0,3,21.00,Collision_Wall
57,0,3,224.00,Collision_Wall
58,1,3,12.00,Collision_Self
59,1,3,27.50,Collision_Self
60,0,3,48.00,Collision_Wall
61,1,3,27.00,Collision_Self
62,2,3,12.33,Collision_Self
63,1,3,20.50,Collision_Self
64,1,3,29.00,Collision_Self
65,1,3,73.50,Collision_Wall
66,8,8,39.67,Collision_Self
67,4,8,34.40,Collision_Wall
68,1,8,31.00,Collision_Self
69,2,8,31.67,Collision_Wall
70,5,8,39.00,Collision_Self
71,0,8,51.00,Collision_Wall
72,2,8,49.33,Collision_Self
73,0,8,70.00,Collision_Wall
74,2,8,19.00,Collision_Self
75,3,8,175.25,Timeout
76,8,8,50.11,Collision_Wall
77,8,8,82.11,Collision_Self
78,5,8,24.67,Collision_Self
79,9,9,57.50,Collision_Self
80,1,9,119.50,Collision_Wall
81,7,9,44.50,Collision_Wall
82,16,16,32.00,Collision_Self
83,7,16,27.75,Collision_Self
84,15,16,30.88,Collision_Self
85,1,16,15.00,Collision_Wall
86,5,16,50.67,Collision_Self
87,4,16,27.60,Collision_Self
88,10,16,54.18,Collision_Wall
89,11,16,55.50,Collision_Self
90,21,21,55.27,Collision_Self
91,18,21,28.16,Collision_Self
92,6,21,24.29,Collision_Wall
93,27,27,36.93,Collision_Self
94,10,27,24.36,Collision_Self
95,14,27,73.73,Collision_Self
96,13,27,30.79,Collision_Self
97,32,32,27.45,Collision_Self
98,15,32,42.62,Collision_Self
99,11,32,19.83,Collision_Self
100,10,32,32.09,Collision_Self
101,36,36,37.24,Collision_Self
102,13,36,59.07,Collision_Self
103,9,36,26.60,Collision_Wall
104,31,36,27.69,Collision_Self
105,30,36,25.00,Collision_Self
106,7,36,52.25,Collision_Wall
107,9,36,34.80,Collision_Self
108,16,36,17.59,Collision_Self
109,23,36,28.50,Collision_Self
110,23,36,47.54,Collision_Self
111,13,36,15.71,Collision_Self
112,26,36,42.26,Collision_Self
113,17,36,41.50,Collision_Self
114,22,36,29.65,Collision_Self
115,24,36,23.32,Collision_Self
116,7,36,19.75,Collision_Self
117,12,36,16.31,Collision_Wall
118,29,36,24.17,Collision_Wall
119,35,36,23.11,Collision_Self
120,43,43,18.91,Collision_Self
121,19,43,21.50,Collision_Self
122,52,52,18.79,Collision_Self
123,13,52,17.57,Collision_Self
124,23,52,20.21,Collision_Self
125,29,52,20.90,Collision_Self
126,47,52,20.25,Collision_Self
127,14,52,15.60,Collision_Self
128,27,52,21.71,Collision_Self
129,29,52,18.73,Collision_Self
130,31,52,19.16,Collision_Self
131,53,53,21.15,Collision_Self
132,46,53,20.13,Collision_Self
133,42,53,21.14,Collision_Self
134,33,53,22.26,Collision_Self
135,43,53,19.20,Collision_Self
136,29,53,18.80,Collision_Self
137,31,53,16.38,Collision_Self
138,18,53,19.42,Collision_Self
139,50,53,21.51,Collision_Self
140,46,53,20.79,Collision_Self
141,30,53,17.97,Collision_Self
142,59,59,20.98,Collision_Self
143,52,59,19.11,Collision_Self
144,26,59,22.52,Collision_Self
145,21,59,20.41,Collision_Self
146,36,59,19.97,Collision_Self
147,42,59,22.67,Collision_Wall
148,17,59,21.61,Collision_Self
149,58,59,21.07,Collision_Self
150,30,59,18.94,Collision_Self
151,35,59,21.67,Collision_Self
152,43,59,21.75,Collision_Wall
153,22,59,20.30,Collision_Self
154,54,59,21.75,Collision_Self
155,27,59,20.79,Collision_Self
156,37,59,19.92,Collision_Self
157,24,59,17.00,Collision_Self
